NAME,TotalPop,White_NonHisp,Black,Asian,Hispanic,MedianIncome,BelowPoverty,BachelorsOrHigher,Male_Under18,Female_Under18,Male_18_34,Female_18_34,Male_35_64,Female_35_64,Male_65plus,Female_65plus,LaborForce,Unemployed,NoHealthInsurance,MedianRent,STATE,COUNTY,TRACT,TRACT_FIPS,Age_Under18,Age_18_34,Age_35_64,Age_65plus,Pct_Black,Pct_Hispanic,Pct_Asian,Pct_WhiteNonHisp,Pct_BelowPoverty,Pct_BachelorsPlus,Pct_Unemployed,Pct_Uninsured
Census Tract 6913; Cook County; Illinois,2465,0,2356,99,0,55203,610,406,112,121,0,0,0,77,97,73,1146,193,0,1033,17,31,691300,17031691300,233,0,77,170,95.57809330628804,0.0,4.016227180527383,0.0,24.746450304259636,16.470588235294116,16.841186736474693,0.0
Census Tract 6914; Cook County; Illinois,2793,1,2589,19,108,35495,786,132,79,191,33,20,47,70,45,31,1087,251,0,1269,17,31,691400,17031691400,270,53,117,76,92.69602577873255,3.866809881847476,0.6802721088435374,0.03580379520229145,28.141783029001072,4.726100966702471,23.091076356945724,0.0
Census Tract 6915; Cook County; Illinois,1794,73,1632,0,88,24101,811,151,37,49,21,41,22,0,0,18,903,301,14,1035,17,31,691500,17031691500,86,62,22,18,90.96989966555184,4.9052396878483835,0.0,4.069119286510591,45.20624303232999,8.416945373467112,33.33333333333333,0.7803790412486065
Census Tract 7001; Cook County; Illinois,3819,124,1892,4,1676,79659,596,130,142,140,0,47,65,153,23,20,1966,120,0,1200,17,31,700100,17031700100,282,47,218,43,49.54176485991097,43.88583398795497,0.10473946059177797,3.2469232783451165,15.606179628174916,3.4040324692327837,6.1037639877924725,0.0
Census Tract 7002; Cook County; Illinois,6914,552,990,0,5372,74125,1474,552,61,207,108,41,74,54,79,98,3510,405,165,1171,17,31,700200,17031700200,268,149,128,177,14.318773503037315,77.69742551345097,0.0,7.983800983511716,21.319062771188893,7.983800983511716,11.538461538461538,2.386462250506219
Census Tract 7003.01; Cook County; Illinois,6063,1003,199,66,4726,84667,635,423,235,109,16,40,136,116,42,11,2884,251,118,1419,17,31,700301,17031700301,344,56,252,53,3.282203529605806,77.94821045686953,1.0885700148441364,16.542965528616197,10.473363021606467,6.976744186046512,8.703190013869627,1.946231238660729
Census Tract 7003.02; Cook County; Illinois,5626,1192,748,0,3568,86000,960,402,128,235,94,48,89,36,6,47,2439,225,16,1364,17,31,700302,17031700302,363,142,125,53,13.295414148595805,63.41983647351582,0.0,21.187344472093848,17.063633131887666,7.14539637397796,9.22509225092251,0.28439388553146105
Census Tract 7004.01; Cook County; Illinois,6376,231,3470,23,2515,94313,859,463,108,147,116,75,279,131,78,126,3872,367,49,1203,17,31,700401,17031700401,255,191,410,204,54.4228356336261,39.4447929736512,0.3607277289836888,3.622961104140527,13.472396486825597,7.261606022584692,9.478305785123966,0.7685069008782937
Census Tract 7004.02; Cook County; Illinois,3453,192,2112,16,1080,98152,226,478,59,0,59,82,30,146,0,54,1747,98,0,-666666666,17,31,700402,17031700402,59,141,176,54,61.164205039096444,31.277150304083406,0.4633651896901245,5.560382276281494,6.545033304373009,13.843035041992472,5.609616485403549,0.0
Census Tract 7005.01; Cook County; Illinois,6386,171,5840,182,132,64739,1661,1052,26,267,63,208,0,192,202,141,3111,362,0,1008,17,31,700501,17031700501,293,271,192,343,91.45004697776386,2.0670216097713747,2.8499843407453804,2.677732539931099,26.010021922956465,16.47353585969308,11.636129861780779,0.0
Census Tract 7005.02; Cook County; Illinois,3442,112,2863,0,438,97624,230,312,73,171,26,91,61,104,53,35,1560,137,172,1742,17,31,700502,17031700502,244,117,165,88,83.17838466008135,12.72515979081929,0.0,3.2539221382916907,6.682161533991865,9.06449738524114,8.782051282051281,4.997094712376525
Census Tract 7101; Cook County; Illinois,800,0,781,6,13,28287,367,75,37,3,42,0,40,20,0,0,436,147,0,681,17,31,710100,17031710100,40,42,60,0,97.625,1.625,0.75,0.0,45.875,9.375,33.715596330275226,0.0
Census Tract 7102; Cook County; Illinois,4084,16,4068,0,0,30871,1502,221,240,54,0,52,0,55,119,88,1336,211,107,865,17,31,710200,17031710200,294,52,55,207,99.60822722820764,0.0,0.0,0.3917727717923604,36.777668952007836,5.4113614103819785,15.793413173652695,2.6199804113614102
Census Tract 7103; Cook County; Illinois,1170,0,1118,11,41,54886,199,50,58,26,0,0,14,63,0,18,644,29,34,979,17,31,710300,17031710300,84,0,77,18,95.55555555555556,3.5042735042735043,0.9401709401709402,0.0,17.00854700854701,4.273504273504273,4.503105590062112,2.905982905982906
Census Tract 7104; Cook County; Illinois,5466,23,5124,53,191,43986,1936,573,451,131,28,37,73,38,51,101,2116,527,0,1168,17,31,710400,17031710400,582,65,111,152,93.7431394072448,3.4943285766556897,0.9696304427369191,0.4207830223197951,35.41895353091841,10.48298572996707,24.905482041587902,0.0
Census Tract 7105; Cook County; Illinois,3753,7,3387,0,182,44973,1184,335,151,0,29,98,0,159,86,20,1595,266,53,1144,17,31,710500,17031710500,151,127,159,106,90.24780175859313,4.84945377031708,0.0,0.18651745270450307,31.548094857447374,8.92619237942979,16.677115987460812,1.4122035704769518
Census Tract 7106; Cook County; Illinois,1802,171,1537,0,67,42132,386,212,10,23,54,0,0,22,47,116,990,141,0,1112,17,31,710600,17031710600,33,54,22,163,85.29411764705883,3.718091009988901,0.0,9.489456159822419,21.420643729189788,11.76470588235294,14.242424242424242,0.0
Census Tract 7107; Cook County; Illinois,3492,15,3367,1,64,40938,1054,304,190,15,53,18,106,125,96,121,1534,348,0,1086,17,31,710700,17031710700,205,71,231,217,96.42038946162657,1.8327605956471937,0.028636884306987402,0.429553264604811,30.18327605956472,8.705612829324169,22.685788787483702,0.0
Census Tract 7108; Cook County; Illinois,4714,5,4512,30,88,37580,972,166,200,142,0,113,111,30,136,29,2010,444,32,1097,17,31,710800,17031710800,342,113,141,165,95.71489181162495,1.8667798048366566,0.6364022061943148,0.10606703436571914,20.6194314806958,3.5214255409418755,22.08955223880597,0.6788290199406024
Census Tract 7109; Cook County; Illinois,2108,0,1859,16,201,48867,742,178,121,176,5,38,28,78,0,25,874,133,24,919,17,31,710900,17031710900,297,43,106,25,88.18785578747628,9.535104364326376,0.7590132827324478,0.0,35.199240986717264,8.444022770398481,15.217391304347828,1.1385199240986716
Census Tract 7110; Cook County; Illinois,3453,78,3138,32,205,55197,714,114,166,204,27,54,66,30,21,38,1414,216,102,1067,17,31,711000,17031711000,370,81,96,59,90.87749782797567,5.936866492904721,0.926730379380249,2.2589052997393573,20.677671589921808,3.301476976542137,15.275813295615276,2.9539530842745436
Census Tract 7111; Cook County; Illinois,2618,0,2608,0,0,49688,574,222,121,23,0,55,69,92,26,0,1442,315,0,874,17,31,711100,17031711100,144,55,161,26,99.61802902979373,0.0,0.0,0.0,21.92513368983957,8.479755538579067,21.844660194174757,0.0
Census Tract 7112; Cook County; Illinois,4804,23,4094,0,503,60433,586,317,62,118,80,80,209,177,5,98,2360,334,11,1117,17,31,711200,17031711200,180,160,386,103,85.22064945878435,10.470441298917569,0.0,0.47876769358867605,12.198168193172357,6.598667776852622,14.152542372881355,0.2289758534554538
