NAME,TotalPop,White_NonHisp,Black,Asian,Hispanic,MedianIncome,BelowPoverty,BachelorsOrHigher,Male_Under18,Female_Under18,Male_18_34,Female_18_34,Male_35_64,Female_35_64,Male_65plus,Female_65plus,LaborForce,Unemployed,NoHealthInsurance,MedianRent,STATE,COUNTY,TRACT,TRACT_FIPS
Census Tract 2516; Cook County; Illinois,4418,462,2772,0,1074,34332,1335,236,51,485,19,44,98,83,36,86,1622,223,44,1297,17,031,251600,17031251600
Census Tract 2517; Cook County; Illinois,1188,37,948,0,203,57037,327,86,25,28,29,0,1,36,10,58,674,60,0,1273,17,031,251700,17031251700
Census Tract 2518; Cook County; Illinois,5641,12,5253,0,320,36681,1907,77,467,242,187,17,225,39,0,80,2313,312,0,1215,17,031,251800,17031251800
Census Tract 2519; Cook County; Illinois,5355,86,4550,0,592,35047,1998,153,254,53,151,193,135,101,47,0,2591,482,61,931,17,031,251900,17031251900
Census Tract 2520; Cook County; Illinois,5787,494,4756,9,436,30103,1828,273,218,211,90,22,134,123,26,209,2599,751,14,1030,17,031,252000,17031252000
Census Tract 2521.01; Cook County; Illinois,1624,2,1478,0,50,50139,287,93,69,6,28,24,0,21,11,8,729,95,22,1054,17,031,252101,17031252101
Census Tract 2521.02; Cook County; Illinois,6123,0,5216,0,541,51992,989,219,207,276,47,42,266,52,74,14,2852,492,262,1223,17,031,252102,17031252102
Census Tract 2522.01; Cook County; Illinois,3195,100,3007,7,76,45458,922,223,0,129,81,5,27,12,10,113,1457,371,0,1214,17,031,252201,17031252201
Census Tract 2522.02; Cook County; Illinois,4872,30,4733,43,49,45839,1450,178,459,92,121,14,0,18,94,106,2185,397,20,1168,17,031,252202,17031252202
Census Tract 2601; Cook County; Illinois,1145,14,1052,14,56,21875,412,86,0,49,0,0,0,0,6,44,429,77,0,608,17,031,260100,17031260100
Census Tract 2602; Cook County; Illinois,1274,6,1113,0,143,51125,215,26,25,27,17,27,42,6,26,0,628,27,0,1181,17,031,260200,17031260200
Census Tract 2603; Cook County; Illinois,1615,26,1416,0,171,-666666666,585,17,120,9,79,13,82,36,7,21,648,162,13,880,17,031,260300,17031260300
Census Tract 2604; Cook County; Illinois,1573,0,1397,0,153,13489,1049,0,83,23,19,110,29,55,42,13,544,184,0,1244,17,031,260400,17031260400
Census Tract 2605; Cook County; Illinois,1594,2,1551,0,41,40991,353,90,13,0,12,17,19,0,16,16,781,165,0,1351,17,031,260500,17031260500
Census Tract 2606; Cook County; Illinois,2115,27,2046,14,28,42875,378,86,79,48,102,28,30,75,10,24,902,357,0,1402,17,031,260600,17031260600
Census Tract 2607; Cook County; Illinois,1216,17,1000,0,199,46167,419,115,0,0,0,0,60,0,12,14,474,92,0,1275,17,031,260700,17031260700
Census Tract 2608; Cook County; Illinois,1782,95,1659,0,7,36681,558,21,104,48,0,0,59,42,51,0,782,244,0,1168,17,031,260800,17031260800
Census Tract 2609; Cook County; Illinois,1162,94,1018,0,33,20841,496,91,38,0,46,40,17,40,24,7,436,82,10,1111,17,031,260900,17031260900
Census Tract 2610; Cook County; Illinois,2143,0,2070,0,73,48482,429,92,25,49,22,155,0,59,20,70,1080,116,0,1246,17,031,261000,17031261000
Census Tract 2705; Cook County; Illinois,1411,18,1393,0,0,24375,658,96,100,76,0,20,41,34,30,15,416,74,0,941,17,031,270500,17031270500
Census Tract 2712; Cook County; Illinois,1351,118,1162,37,34,31048,471,130,11,71,14,19,98,41,12,7,489,124,0,1273,17,031,271200,17031271200
Census Tract 2713; Cook County; Illinois,880,9,751,8,44,45046,265,63,0,0,0,0,76,54,9,7,563,82,0,1022,17,031,271300,17031271300
Census Tract 2714; Cook County; Illinois,1499,219,1135,24,112,43355,570,195,10,46,23,60,20,9,26,13,618,179,51,1204,17,031,271400,17031271400
Census Tract 2715; Cook County; Illinois,1515,16,1368,0,115,50926,358,62,68,0,19,15,13,89,15,51,682,83,0,1373,17,031,271500,17031271500
Census Tract 2718; Cook County; Illinois,793,72,683,0,38,51550,34,42,54,0,23,27,6,0,19,0,429,14,0,1589,17,031,271800,17031271800
Census Tract 2801; Cook County; Illinois,7867,5472,348,1313,320,148319,199,3116,172,20,0,0,174,296,17,45,7002,107,0,2465,17,031,280100,17031280100
Census Tract 2804; Cook County; Illinois,1268,96,986,14,172,36681,272,174,15,0,7,0,0,0,12,83,630,0,0,1214,17,031,280400,17031280400
Census Tract 2808; Cook County; Illinois,1036,48,839,0,77,31500,288,90,0,26,0,0,0,60,0,0,481,76,0,1039,17,031,280800,17031280800
Census Tract 2809; Cook County; Illinois,1173,167,874,112,0,-666666666,247,239,43,34,0,8,16,47,0,9,596,33,81,-666666666,17,031,280900,17031280900
Census Tract 2819; Cook County; Illinois,6709,2779,546,1895,1131,125918,640,2217,95,226,39,23,62,328,0,14,5365,283,6,2178,17,031,281900,17031281900
Census Tract 2827; Cook County; Illinois,2221,572,819,208,509,88646,293,325,30,16,0,17,59,119,15,31,1535,97,26,2094,17,031,282700,17031282700
Census Tract 2828; Cook County; Illinois,1669,439,177,242,754,85000,231,250,0,5,0,54,40,105,18,13,913,80,0,1833,17,031,282800,17031282800
Census Tract 2831; Cook County; Illinois,2684,834,532,661,464,61806,762,501,39,22,0,0,140,250,28,11,1549,129,22,1899,17,031,283100,17031283100
Census Tract 2832; Cook County; Illinois,1799,501,890,196,111,64223,246,390,98,0,42,0,54,79,0,0,1156,93,0,1622,17,031,283200,17031283200
Census Tract 2838; Cook County; Illinois,3573,868,1985,350,268,86103,645,715,322,74,0,0,121,96,7,85,2167,121,0,1099,17,031,283800,17031283800
Census Tract 2909; Cook County; Illinois,4267,71,4135,0,20,46189,1683,121,219,70,84,0,0,133,0,62,1968,492,23,1204,17,031,290900,17031290900
Census Tract 2912; Cook County; Illinois,1532,2,1517,0,13,24555,477,149,0,13,20,37,39,2,26,23,766,65,4,1079,17,031,291200,17031291200
Census Tract 2916; Cook County; Illinois,1482,277,71,37,1097,125050,292,72,10,44,12,0,85,11,0,0,688,74,0,2040,17,031,291600,17031291600
Census Tract 2922; Cook County; Illinois,2488,40,2025,14,213,37028,450,126,63,123,88,57,83,67,0,22,1052,84,0,1160,17,031,292200,17031292200
Census Tract 2924; Cook County; Illinois,1787,337,1423,0,27,40152,742,131,42,112,51,80,29,55,0,35,798,78,60,1540,17,031,292400,17031292400
Census Tract 2925; Cook County; Illinois,3450,0,2377,0,845,54968,712,441,108,67,93,32,91,52,23,52,1612,222,134,1303,17,031,292500,17031292500
Census Tract 3005; Cook County; Illinois,3467,229,31,0,3207,76023,785,281,108,95,125,105,49,126,22,18,1734,136,43,1072,17,031,300500,17031300500
Census Tract 3006; Cook County; Illinois,2906,152,181,0,2573,51092,527,68,205,45,19,64,0,15,6,0,1172,105,0,1140,17,031,300600,17031300600
Census Tract 3007; Cook County; Illinois,4799,54,36,157,4552,49206,506,122,66,133,121,0,52,308,0,56,2764,283,43,898,17,031,300700,17031300700
Census Tract 3008; Cook County; Illinois,4177,162,0,0,3916,31161,1910,118,323,109,78,86,90,0,26,0,1546,84,95,1101,17,031,300800,17031300800
Census Tract 3009; Cook County; Illinois,3705,111,1,0,3593,34259,1474,85,33,189,0,67,29,90,33,0,1400,25,0,838,17,031,300900,17031300900
Census Tract 3011; Cook County; Illinois,2454,293,62,0,2099,44598,342,117,51,103,38,28,39,48,0,0,1126,92,43,1023,17,031,301100,17031301100
Census Tract 3012; Cook County; Illinois,4877,250,1632,43,2893,53654,1208,444,74,95,54,60,0,142,36,41,2841,360,41,949,17,031,301200,17031301200
Census Tract 3016; Cook County; Illinois,3481,158,136,1,3147,30158,1003,169,19,153,22,23,107,89,32,0,1357,214,0,874,17,031,301600,17031301600
Census Tract 3017.01; Cook County; Illinois,4167,427,0,92,3648,56460,624,105,0,137,48,18,119,46,125,76,2091,38,0,967,17,031,301701,17031301701
Census Tract 3017.02; Cook County; Illinois,4322,91,0,0,4231,69000,624,120,426,32,207,64,178,68,51,87,1973,61,121,917,17,031,301702,17031301702
Census Tract 3018.01; Cook County; Illinois,4359,47,2,0,4310,48944,1035,369,86,351,75,190,167,49,17,44,1708,227,0,941,17,031,301801,17031301801
Census Tract 3018.02; Cook County; Illinois,2491,55,1,0,2435,25513,649,141,71,74,38,9,23,47,64,13,1008,125,66,969,17,031,301802,17031301802
Census Tract 3018.03; Cook County; Illinois,3264,90,0,0,3174,59213,423,234,86,108,11,35,31,39,43,64,1512,163,40,962,17,031,301803,17031301803
Census Tract 3102; Cook County; Illinois,1672,635,121,330,481,122422,66,675,35,27,0,9,13,58,17,10,1302,20,0,1961,17,031,310200,17031310200
Census Tract 3103; Cook County; Illinois,1748,300,42,32,1321,75605,159,352,97,10,33,62,31,18,0,10,1016,35,12,1111,17,031,310300,17031310300
Census Tract 3104; Cook County; Illinois,1462,397,21,21,929,80786,162,220,16,26,19,21,47,42,0,0,905,75,26,1391,17,031,310400,17031310400
Census Tract 3105; Cook County; Illinois,1645,259,53,14,1319,52344,247,137,60,3,64,0,9,87,26,22,996,116,0,1209,17,031,310500,17031310500
Census Tract 3106; Cook County; Illinois,5136,1533,228,349,2900,75604,583,1012,40,131,0,0,76,207,45,0,3040,143,0,1333,17,031,310600,17031310600
Census Tract 3107; Cook County; Illinois,1448,251,56,131,923,72684,249,246,38,35,0,0,101,60,2,0,867,114,21,1295,17,031,310700,17031310700
Census Tract 3108; Cook County; Illinois,4294,905,0,158,3146,72059,858,838,84,19,32,0,121,187,13,0,2561,207,65,1140,17,031,310800,17031310800
Census Tract 3109; Cook County; Illinois,5070,722,226,0,4045,76758,1312,848,85,0,53,83,106,128,46,0,2836,256,18,1259,17,031,310900,17031310900
Census Tract 3201.01; Cook County; Illinois,9208,5075,850,1991,721,129221,331,2341,0,280,9,0,125,377,113,301,6162,118,0,2503,17,031,320101,17031320101
Census Tract 3201.02; Cook County; Illinois,5330,3058,52,1511,528,109211,548,1862,273,0,191,26,196,498,18,0,3505,131,0,2462,17,031,320102,17031320102
Census Tract 3204; Cook County; Illinois,3253,1798,512,522,283,137917,300,438,8,0,397,562,256,114,18,41,1938,187,110,2355,17,031,320400,17031320400
Census Tract 3206; Cook County; Illinois,6064,2838,696,1371,930,117847,701,2371,128,91,137,59,186,154,0,0,4110,222,4,2471,17,031,320600,17031320600
Census Tract 3301.01; Cook County; Illinois,5060,2755,214,1420,319,181013,303,862,0,150,0,0,77,48,35,61,3499,157,101,3180,17,031,330101,17031330101
Census Tract 3301.02; Cook County; Illinois,10062,4570,2608,1515,924,110464,95,3374,281,245,132,0,355,154,0,105,7403,434,0,2410,17,031,330102,17031330102
